"","well_id","Alkalinity","As","B","Bicarbonate","Ca","Carbonate","Fe","pH","Si","SO4-","SpecificConductance","U"
"524",1429,NA,3.133964345,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.257578508
"525",1434,NA,6.572581797,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.928749494
"526",1437,NA,4.5871938625,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.506986783
"527",1439,NA,4.594800683,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.410980883
"528",1459,NA,13.70822313,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.71451517
"529",1472,NA,3.2142263355,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.08
"530",1475,NA,6.614698781,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.178574841
"531",1504,NA,4.89607242,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.438173657
"532",1528,NA,2.662377619,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.54231503
"533",1530,NA,NA,NA,165,75.7,0,26,7.9,15.9,150,541,NA
"534",1531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410,NA
"535",1532,NA,NA,NA,NA,64.8,NA,10,8.1,14,43.2,460,NA
"536",1533,NA,NA,NA,252,69,0,NA,NA,23,47,538,NA
"537",1534,NA,NA,NA,252,70.45,0,10,8.1,21,58.05,549,NA
"538",1538,NA,0.4222372215,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.581512344
"539",1539,NA,NA,NA,NA,143,NA,10,7.6,10.8,473,1250,NA
"540",1544,NA,NA,NA,NA,123,NA,10,7.5,13.6,293,989,NA
"541",1554,NA,NA,NA,132.5,412.5,0,NA,7.7,18,1695,2800,NA
"542",1557,NA,NA,NA,238,84,0,NA,NA,16,126,712,NA
"543",1558,NA,NA,NA,182,75.05,0,10,7.9,13.1,103.5,589,NA
